# kzero.jl — least k with a primitive representation of ell^{2k}
# p = 578415690713087
# ell = 2
# det = 16p^2 = 5353035380209560300456849113104
# forms_in_file = 10000
# tag = main
# batch = 47 of = 50
# kmax_cap = 33
# generated = 2026-08-28 12:34:05 host = bp1-compute102
form,status,in_genus,lambda1,aut,kmin,k0,witness,secs
# S 48
48,OK,1,601592,2,10,15,12 12 -27 -6 -5,7.065
# S 98
98,OK,1,800805,2,10,15,34 -25 12 3 4,7.347
# S 148
148,OK,1,338104,2,10,15,26 -6 -4 5 -11,1.337
# S 198
198,OK,1,537001,2,10,16,12 37 -13 32 -1,294.027
# S 248
248,OK,1,1287544,2,11,16,10 -3 4 -25 37,21.039
# S 298
298,OK,1,1307416,2,11,16,15 -15 -29 7 -36,20.797
# S 348
348,OK,1,1049384,2,11,16,14 3 -9 48 -22,118.371
# S 398
398,OK,1,944136,2,10,16,33 14 30 -46 14,162.059
# S 448
448,OK,1,681132,2,10,16,69 -44 22 -33 -9,179.652
# S 498
498,OK,1,1107845,2,11,16,31 -7 -13 36 -20,128.549
# S 548
548,OK,1,1334984,2,11,16,13 -35 24 -39 48,14.632
# S 598
598,OK,1,287924,2,10,16,10 -27 -37 15 -17,22.27
# S 648
648,OK,1,1111044,2,11,17,55 21 3 -42 55,1705.232
# S 698
698,OK,1,1226701,2,11,16,58 -7 -11 -10 -18,137.649
# S 748
748,OK,1,986473,2,10,17,10 -73 16 22 81,383.552
# S 798
798,OK,1,633112,2,10,15,22 22 12 -3 10,2.729
# S 848
848,OK,1,1204157,2,11,15,11 5 20 23 2,9.636
# S 898
898,OK,1,678841,2,10,15,11 14 17 -13 -3,6.993
# S 948
948,OK,1,795289,2,10,16,33 23 6 21 22,78.639
# S 998
998,OK,1,692708,2,10,17,10 12 -55 -35 65,318.755
# S 1048
1048,OK,1,994776,2,10,16,7 48 41 -16 -24,102.433
# S 1098
1098,OK,1,377888,2,10,16,31 -17 -33 -3 -19,30.284
# S 1148
1148,OK,1,584697,2,10,16,53 -3 -23 8 -12,53.039
# S 1198
1198,OK,1,549697,2,10,15,12 -12 15 -7 -8,1.713
# S 1248
1248,OK,1,1246061,2,11,15,30 0 0 1 5,7.65
# S 1298
1298,OK,1,658809,2,10,17,53 -56 -67 17 35,482.603
# S 1348
1348,OK,1,378325,2,10,16,33 9 12 15 29,10.796
# S 1398
1398,OK,1,1216637,2,11,15,28 -18 12 4 -1,11.042
# S 1448
1448,OK,1,712504,2,10,15,17 37 7 4 1,9.602
# S 1498
1498,OK,1,992501,2,10,16,14 -45 2 5 15,68.128
# S 1548
1548,OK,1,1109560,2,11,15,7 -23 24 8 5,7.582
# S 1598
1598,OK,1,595513,2,10,15,32 -2 -12 -2 -7,3.83
# S 1648
1648,OK,1,1293680,2,11,16,22 18 -10 27 36,44.044
# S 1698
1698,OK,1,698445,2,10,16,40 -22 -11 -12 26,15.953
# S 1748
1748,OK,1,821361,2,10,17,58 6 -12 -47 -90,365.542
# S 1798
1798,OK,1,698913,2,10,16,9 -20 -25 16 -33,18.366
# S 1848
1848,OK,1,760636,2,10,16,55 -22 -6 3 27,66.905
# S 1898
1898,OK,1,506616,2,10,17,16 -16 -23 35 -51,340.038
# S 1948
1948,OK,1,843385,2,10,15,29 -8 -15 3 -1,10.617
# S 1998
1998,OK,1,900220,2,10,15,32 1 6 -1 -6,5.802
# S 2048
2048,OK,1,663536,2,10,16,36 -29 -30 18 -13,147.062
# S 2098
2098,OK,1,484492,2,10,17,49 5 -9 12 62,567.963
# S 2148
2148,OK,1,354264,2,10,16,47 28 -7 19 26,23.557
# S 2198
2198,OK,1,722068,2,10,16,42 25 -32 -21 -14,122.722
# S 2248
2248,OK,1,297884,2,10,16,98 -9 -26 11 -14,98.679
# S 2298
2298,OK,1,734556,2,10,17,69 61 -6 -45 -56,1244.894
# S 2348
2348,OK,1,557080,2,10,15,13 -11 5 -2 19,0.454
# S 2398
2398,OK,1,900769,2,10,15,22 -1 -11 -13 15,2.409
# S 2448
2448,OK,1,1418248,2,11,16,37 -48 8 -24 -10,216.497
# S 2498
2498,OK,1,1022748,2,10,16,52 23 -19 -10 19,127.242
# S 2548
2548,OK,1,653533,2,10,16,38 28 25 26 -27,19.847
# S 2598
2598,OK,1,736336,2,10,16,44 -46 -28 -15 15,119.458
# S 2648
2648,OK,1,630016,2,10,16,42 -2 18 1 27,20.497
# S 2698
2698,OK,1,1106864,2,11,16,29 38 -23 10 36,34.051
# S 2748
2748,OK,1,756632,2,10,17,42 17 36 11 88,338.564
# S 2798
2798,OK,1,1016065,2,10,17,105 -56 12 -31 79,410.644
# S 2848
2848,OK,1,1407057,2,11,15,-4 -5 4 -10 -17,0.728
# S 2898
2898,OK,1,778569,2,10,15,27 -27 -19 4 5,5.9
# S 2948
2948,OK,1,989013,2,10,16,52 -14 17 -22 -9,217.837
# S 2998
2998,OK,1,943864,2,10,16,26 7 -24 36 17,104.975
# S 3048
3048,OK,1,1291365,2,11,14,6 11 -9 -8 6,0.183
# S 3098
3098,OK,1,965253,2,10,15,11 -27 -3 9 -7,5.018
# S 3148
3148,OK,1,1648325,2,11,16,8 -22 7 23 25,101.75
# S 3198
3198,OK,1,906313,2,10,15,27 26 3 20 10,3.876
# S 3248
3248,OK,1,938324,2,10,15,3 24 19 12 -3,8.003
# S 3298
3298,OK,1,738024,2,10,15,37 -10 -5 1 -9,4.431
# S 3348
3348,OK,1,554604,2,10,16,17 50 21 0 24,46.562
# S 3398
3398,OK,1,456993,2,10,16,89 -8 -8 9 -16,89.532
# S 3448
3448,OK,1,510092,2,10,15,24 -2 15 -6 9,2.643
# S 3498
3498,OK,1,916617,2,10,17,0 17 -66 -43 78,622.92
# S 3548
3548,OK,1,239641,2,9,15,4 -24 11 4 -6,4.476
# S 3598
3598,OK,1,1331401,2,11,16,39 -10 50 -25 -38,29.618
# S 3648
3648,OK,1,1068233,2,11,16,6 36 9 36 -34,36.064
# S 3698
3698,OK,1,888001,2,10,16,22 -35 37 -27 16,97.433
# S 3748
3748,OK,1,597716,2,10,16,26 12 -39 -1 16,78.72
# S 3798
